,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
1162,2023-02-03,4136.68,4136.47,4182.35,4694510000.0,-0.019999999999999934,-5.076534805690466e-05,0.9658102580225755,1.0570245351110796,0.956523543457719,0.9574580219989482,-0.929620039117096
1174,2023-02-02,4158.68,4179.75,4195.43,5624360000.0,0.53,0.005066511489222472,0.8783004724933712,0.9658102580225755,1.0570245351110796,0.956523543457719,-0.5639951233749037
1201,2023-02-01,4070.07,4119.2,4148.95,4856930000.0,-0.51,0.012071045461134489,0.8243748060253573,0.8783004724933712,0.9658102580225755,1.0570245351110796,0.65647289060622
1232,2023-01-31,4020.85,4076.6,4077.15,4679320000.0,-0.6,0.013865227501647662,0.905521365634166,0.8243748060253573,0.8783004724933712,0.9658102580225755,0.9630617501815799
1258,2023-01-30,4049.27,4017.77,4063.85,3802000000.0,-0.11,-0.0077791799509541225,1.0092929908199915,0.905521365634166,0.8243748060253573,0.8783004724933712,-0.3312008245459679
1263,2023-01-27,4053.71,4070.56,4094.2,3907760000.0,0.55,0.004156686097426779,0.9854660640450027,1.0092929908199915,0.905521365634166,0.8243748060253573,-0.83832132229477
1277,2023-01-26,4036.08,4060.42,4061.57,3809590000.0,-0.21999999999999997,0.006030603952349841,0.9094696991168026,0.9854660640450027,1.0092929908199915,0.905521365634166,-0.5226084444863129
1290,2023-01-25,3982.7,4016.21,4019.55,3724020000.0,-0.45,0.008413890074572581,0.8620852716451596,0.9094696991168026,0.9854660640450027,1.0092929908199915,-0.11882557711454811
1315,2023-01-24,4001.73,4016.94,4023.91,3320430000.0,-0.03,0.0038008561297239035,0.8579430350495793,0.8620852716451596,0.9094696991168026,0.9854660640450027,-0.6279143350117176
1333,2023-01-23,3978.13,4019.81,4039.31,3945210000.0,-0.33,0.0104772845532951,0.7950394804674294,0.8579430350495793,0.8620852716451596,0.9094696991168026,0.36093928064291203
1340,2023-01-20,3909.04,3972.61,3972.95,4013360000.0,-0.05,0.01626230481141154,0.8463083808193859,0.7950394804674294,0.8579430350495793,0.8620852716451596,1.7644169074473646
1342,2023-01-19,3911.84,3898.85,3922.93,3991500000.0,-1.41,-0.003320687962697921,1.033149758558928,0.8463083808193859,0.7950394804674294,0.8579430350495793,-0.9204873355377999
1350,2023-01-18,4002.25,3928.86,4014.15,4298710000.0,-1.87,-0.018337185333250017,0.9527634430075247,1.033149758558928,0.8463083808193859,0.7950394804674294,2.645238965043756
1363,2023-01-17,3999.28,3990.96,4015.38,4235560000.0,-0.24000000000000002,-0.0020803744674041734,1.194359405074015,0.9527634430075247,1.033149758558928,0.8463083808193859,-1.359279432654307
1369,2023-01-13,3960.6,3999.09,4003.94,3939700000.0,-0.85,0.009718224511437721,1.0878300936343253,1.194359405074015,0.9527634430075247,1.033149758558928,-0.3358673291608303
1379,2023-01-12,3977.57,3983.16,3997.76,4440260000.0,-1.12,0.001405380672118829,1.065343858137173,1.0878300936343253,1.194359405074015,0.9527634430075247,-1.12698000227031
1387,2023-01-11,3932.35,3969.61,3970.07,4303360000.0,0.65,0.009475250168474378,0.9674875881002395,1.065343858137173,1.0878300936343253,1.194359405074015,-0.13267138962633063
1393,2023-01-10,3888.57,3919.25,3919.83,3851030000.0,0.01999999999999999,0.007889789819908047,0.962430940195418,0.9674875881002395,1.065343858137173,1.0878300936343253,-0.3819865134353164
1398,2023-01-09,3910.82,3892.09,3950.57,4311770000.0,0.010000000000000064,-0.00478927692913507,0.9322458912472744,0.962430940195418,0.9674875881002395,1.065343858137173,-0.5880247372816998
1404,2023-01-06,3823.37,3895.08,3906.18,3923560000.0,-0.72,0.018755705045548833,0.8790295151846759,0.9322458912472744,0.962430940195418,0.9674875881002395,2.555558130304989
1411,2023-01-05,3839.73,3808.1,3839.73,3893450000.0,-1.97,-0.008237558369989585,1.1288788219705144,0.8790295151846759,0.9322458912472744,0.962430940195418,-0.5087828834147545
1421,2023-01-04,3840.36,3852.96,3873.15,4414080000.0,-0.39,0.003280942411648884,1.0922699199991632,1.1288788219705144,0.8790295151846759,0.9322458912472744,-1.116394801015961
1430,2023-01-03,3853.29,3824.13,3878.45,3959140000.0,-1.08,-0.007567559150751657,0.9980691864318139,1.0922699199991632,1.1288788219705144,0.8790295151846759,-0.34331536313812294
1438,2022-12-30,3829.06,3839.5,3839.85,2979870000.0,-1.76,0.00272651773542333,0.9727838105689737,0.9980691864318139,1.0922699199991632,1.1288788219705144,-0.8972767662732781
1442,2022-12-29,3805.44,3849.28,3858.18,3003680000.0,-0.22999999999999998,0.01152034981500172,0.8894289675263112,0.9727838105689737,0.9980691864318139,1.0922699199991632,0.42070747572589495
1447,2022-12-28,3829.56,3783.21,3848.32,3083520000.0,-0.85,-0.01210321812427535,0.9415969612819926,0.8894289675263112,0.9727838105689737,0.9980691864318139,0.7048854964064205
1451,2022-12-27,3843.34,3829.25,3846.64,3030300000.0,-0.24000000000000002,-0.003666082105668545,1.0179343879598346,0.9415969612819926,0.8894289675263112,0.9727838105689737,-0.8616091470246088
1455,2022-12-23,3815.11,3844.82,3845.8,2819280000.0,-0.12,0.0077874556696923645,0.9422057626558638,1.0179343879598346,0.9415969612819926,0.8894289675263112,-0.3584597418812374
1463,2022-12-22,3853.26,3822.38,3853.26,3956950000.0,-0.21999999999999997,-0.008013993345894154,0.9138034443765671,0.9422057626558638,1.0179343879598346,0.9415969612819926,-0.10807525518022443
1474,2022-12-21,3839.48,3878.43,3889.82,3775200000.0,2.42,0.010144602914978023,0.9110198738452394,0.9138034443765671,0.9422057626558638,1.0179343879598346,0.09787267151050483
1483,2022-12-20,3810.46,3821.62,3838.23,3985370000.0,-0.72,0.0029287802522529704,0.9295477972931527,0.9110198738452394,0.9138034443765671,0.9422057626558638,-0.8056610023147678
1488,2022-12-19,3853.79,3817.65,3854.86,3969610000.0,-0.44,-0.009377781352901916,0.8522115208811039,0.9295477972931527,0.9110198738452394,0.9138034443765671,0.25185486527004464
1493,2022-12-16,3890.9,3852.36,3890.9,7493660000.0,-0.33,-0.009905163329820854,0.8886289198535517,0.8522115208811039,0.9295477972931527,0.9110198738452394,0.29555536848855946
1497,2022-12-15,3958.37,3895.75,3958.37,4493900000.0,-1.96,-0.01581964293383385,0.9281014073773064,0.8886289198535517,0.8522115208811039,0.9295477972931527,1.8059220659981428
1513,2022-12-14,4015.54,3995.32,4053.76,4472340000.0,-0.26,-0.005035437325988485,1.1047303256209409,0.9281014073773064,0.8886289198535517,0.8522115208811039,-0.9126651546492849
1523,2022-12-13,4069.37,4019.64,4100.95,5079360000.0,0.14999999999999997,-0.012220564854019178,1.0306682349133085,1.1047303256209409,0.9281014073773064,0.8886289198535517,0.5589586113032894
1533,2022-12-12,3939.29,3990.56,3990.7,3904130000.0,0.1,0.01301503570440358,1.0881636471340048,1.0306682349133085,1.1047303256209409,0.9281014073773064,0.37910631728054955
1539,2022-12-09,3954.16,3934.37,3977.02,3888260000.0,-0.17,-0.00500485564569971,1.1276996437257023,1.0881636471340048,1.0306682349133085,1.1047303256209409,-0.9673263240684389
1544,2022-12-08,3947.79,3963.51,3974.18,4006900000.0,-1.12,0.003981974725099424,1.0503119358878976,1.1276996437257023,1.0881636471340048,1.0306682349133085,-0.9827625084323235
1553,2022-12-07,3933.28,3933.91,3957.57,4118050000.0,-0.9400000000000001,0.00016017166334449985,0.965229049331913,1.0503119358878976,1.1276996437257023,1.0881636471340048,-0.9304278059189095
1561,2022-12-06,3996.62,3941.26,4001.51,4368380000.0,-0.6099999999999999,-0.01385170469046336,0.8775737611130691,0.965229049331913,1.0503119358878976,1.1276996437257023,1.293084821660385
1569,2022-12-05,4052.02,3998.84,4052.44,4280820000.0,-0.009999999999999998,-0.013124318241272213,1.0156897745150997,0.8775737611130691,0.965229049331913,1.0503119358878976,0.8279233783774604
